url,name,discount,price,location,image_url,cleaned_name
https://www.lazada.vn/products/pdp-i3111705742.html,Điện Thoại Xiaomi Redmi Note 14 Pro 5G (8GB/256GB) Chính Hãng Full Box Nguyên Seal Bảo Hành 18 Tháng,36,4299000,Hà Nội,https://img.lazcdn.com/g/p/3ddd9f6ddb422899152ddb47b1534312.jpg_200x200q80.avif,i n Tho i Xiaomi Redmi Note 14 Pro 5G 8GB/256GB Ch nh H ng Full Box Nguy n Seal B o H nh 18 Th ng
https://www.lazada.vn/products/pdp-i3111692687.html,Điện Thoại Xiaomi 14 5G (16GB/512GB) Chính Hãng 100% Nguyên Kiện Full Box Nguyên Seal Bảo Hành 18 Tháng,36,4199000,Hà Nội,https://img.lazcdn.com/g/p/a7f0b9d17b3ea9549306445bdb43a229.jpg_200x200q80.avif,i n Tho i Xiaomi 14 5G 16GB/512GB Ch nh H ng 100 Nguy n Ki n Full Box Nguy n Seal B o H nh 18 Th ng
https://www.lazada.vn/products/pdp-i3111691890.html,Điện Thoại HONOR X9c 5G (12GB/256GB) Chính Hàng 100% Full Box Nguyên Seal Bảo Hành 18 Tháng,41,3899000,Hà Nội,https://img.lazcdn.com/g/p/150d39ffd0e577dfa006b66d6af329ab.jpg_200x200q80.avif,i n Tho i HONOR X9c 5G 12GB/256GB Ch nh H ng 100 Full Box Nguy n Seal B o H nh 18 Th ng
https://www.lazada.vn/products/pdp-i3111684720.html,Điện Thoại Xiaomi 13T 5G (12GB/256GB) Chính Hãng 100% Full Box Nguyên Seal Bảo Hành 18 Tháng,46,3599000,Hà Nội,https://img.lazcdn.com/g/p/0bfa0a0e83053500fbd976cc351aff7b.jpg_200x200q80.avif,i n Tho i Xiaomi 13T 5G 12GB/256GB Ch nh H ng 100 Full Box Nguy n Seal B o H nh 18 Th ng
https://www.lazada.vn/products/pdp-i3111668847.html,Điện Thoại ZTE Blade A55 (4GB/64GB) Chính Hãng 100% Full Box Nguyên Seal Bảo Hành 18 Tháng,37,1899000,Hà Nội,https://img.lazcdn.com/g/p/d6f3cb12e2369915ed00952c88501671.jpg_200x200q80.avif,i n Tho i ZTE Blade A55 4GB/64GB Ch nh H ng 100 Full Box Nguy n Seal B o H nh 18 Th ng
https://www.lazada.vn/products/pdp-i3111664736.html,Điện Thoại Motorola Razr 50 Ultra (12GB - 256GB) Chính Hãng Like New Mới Đến 99% Bảo Hành 8 Tháng,32,5399000,Hà Nội,https://img.lazcdn.com/g/p/e19396d9cdb4939cea6d821d343d8b2d.jpg_200x200q80.avif,i n Tho i Motorola Razr 50 Ultra 12GB - 256GB Ch nh H ng Like New M i n 99 B o H nh 8 Th ng
https://www.lazada.vn/products/pdp-i3111657737.html,Điện Thoại Xiaomi Redmi Note 13 5G (8GB-256GB) Chính Hãng 100% Full Box Nguyên Seal Bảo Hành 18 Tháng,39,2999000,Hà Nội,https://img.lazcdn.com/g/p/d91260f81133ce7c563efc5cb218b084.jpg_200x200q80.avif,i n Tho i Xiaomi Redmi Note 13 5G 8GB-256GB Ch nh H ng 100 Full Box Nguy n Seal B o H nh 18 Th ng
https://www.lazada.vn/products/pdp-i3111485012.html,Điện Thoại Samsung Galaxy A15 4G (8GB/256GB) Chính Hãng 100% Full Box Nguyên Seal Bảo Hành 18 Tháng,36,3699000,Hà Nội,https://img.lazcdn.com/g/p/57a49456543a5ca8427a9e52c2088ddf.jpg_200x200q80.avif,i n Tho i Samsung Galaxy A15 4G 8GB/256GB Ch nh H ng 100 Full Box Nguy n Seal B o H nh 18 Th ng
https://www.lazada.vn/products/pdp-i3111480018.html,Điện Thoại Di Động HONOR X5 Plus 4G (4GB/64GB) Chính hãng 100% Full Box Nguyên Seal Bảo Hành 18 Tháng,37,1699000,Hà Nội,https://img.lazcdn.com/g/p/c3de1b123c4b91f3c3ea62be47d7dfd2.jpg_200x200q80.avif,i n Tho i Di ng HONOR X5 Plus 4G 4GB/64GB Ch nh h ng 100 Full Box Nguy n Seal B o H nh 18 Th ng
https://www.lazada.vn/products/pdp-i3111466056.html,Điện Thoại Xiaomi Redmi Note 14 4G (8GB/128GB) Chính Hãng 100% Full Box Nguyên Seal Bảo Hành 18 Tháng Lỗi 1 Đổi 1 Trong 30 Ngày,33,3799000,Hà Nội,https://img.lazcdn.com/g/p/7f0fd9464de418c3a83e22f8fb1de117.jpg_200x200q80.avif,i n Tho i Xiaomi Redmi Note 14 4G 8GB/128GB Ch nh H ng 100 Full Box Nguy n Seal B o H nh 18 Th ng L i 1 i 1 Trong 30 Ng y
https://www.lazada.vn/products/pdp-i3111394176.html,Điện Thoại Xiaomi Redmi 14C 4G (6GB/128GB) Chính Hãng 100% Mới Full Box Nguyên Seal Bảo Hành 18 Tháng,43,2599000,Hà Nội,https://img.lazcdn.com/g/p/dc646693cf7c2d23659eb0f1fab1bdea.jpg_200x200q80.avif,i n Tho i Xiaomi Redmi 14C 4G 6GB/128GB Ch nh H ng 100 M i Full Box Nguy n Seal B o H nh 18 Th ng
https://www.lazada.vn/products/pdp-i3111172825.html,Điện Thoại Xiaomi 14 Ultra 5G (16GB/512GB) Chính Hãng Like New Mới Đến 99% Bảo Hành 8 Tháng,26,6399000,Hà Nội,https://img.lazcdn.com/g/p/184f4aaedf5916f7c3305bb40823cdef.jpg_200x200q80.avif,i n Tho i Xiaomi 14 Ultra 5G 16GB/512GB Ch nh H ng Like New M i n 99 B o H nh 8 Th ng
https://www.lazada.vn/products/pdp-i3110146543.html,Điện thoại Samsung note 10 lite -Ram 8G,0,3400000,Bến Tre,https://img.lazcdn.com/g/ff/kf/Sd203287400294e96bc707762d187688fT.jpg_200x200q80.avif,i n tho i Samsung note 10 lite -Ram 8G
https://www.lazada.vn/products/pdp-i3109222008.html,điện thoại samsung note 10 lite Ram 8/128G,0,3400000,Bến Tre,https://img.lazcdn.com/g/ff/kf/S31220cb9dd464468a4dd63a2734bea50d.jpg_200x200q80.avif,i n tho i Samsung note 10 lite Ram 8/128G
https://www.lazada.vn/products/pdp-i3109125338.html,Điện Thoại Xiaomi 14T 5G (12GB/512GB) Chính Hãng 100% Full Box Nguyên Seal Bảo Hành 18 Tháng,43,4299000,Hà Nội,https://img.lazcdn.com/g/p/5906d9a83c45a4b84bc1d743cba495f5.jpg_200x200q80.avif,i n Tho i Xiaomi 14T 5G 12GB/512GB Ch nh H ng 100 Full Box Nguy n Seal B o H nh 18 Th ng
https://www.lazada.vn/products/pdp-i3109106495.html,Điện Thoại Motorola Razr 50 Ultra (12GB - 256GB) Chính Hãng Like New Mới Đến 99% Bảo Hành 8 Tháng,32,5199000,Hà Nội,https://img.lazcdn.com/g/p/c56832fbfd658c6734fbe0966cb3bc23.jpg_200x200q80.avif,i n Tho i Motorola Razr 50 Ultra 12GB - 256GB Ch nh H ng Like New M i n 99 B o H nh 8 Th ng
https://www.lazada.vn/products/pdp-i3109045862.html,Điện Thoại Di Động HONOR X5 Plus 4G (4GB/64GB) Chính hãng 100% Full Box Nguyên Seal Bảo Hành 18 Tháng,38,1599000,Hà Nội,https://img.lazcdn.com/g/p/c3de1b123c4b91f3c3ea62be47d7dfd2.jpg_200x200q80.avif,i n Tho i Di ng HONOR X5 Plus 4G 4GB/64GB Ch nh h ng 100 Full Box Nguy n Seal B o H nh 18 Th ng
https://www.lazada.vn/products/pdp-i3108998521.html,Điện Thoại TECNO SPARK 20 4G (8+8GB/128GB) Chính Hãng 100% Full Box Nguyên Seal Bảo Hành 18 Tháng,33,2399000,Hà Nội,https://img.lazcdn.com/g/p/42854d9f47c18acb4be7ad76f84bf3af.jpg_200x200q80.avif,i n Tho i TECNO SPARK 20 4G 8+8GB/128GB Ch nh H ng 100 Full Box Nguy n Seal B o H nh 18 Th ng
https://www.lazada.vn/products/pdp-i3108917122.html,Điện Thoại Google Pixel 7 5G (8GB|128GB) Chính Hãng Like New Mới Đến 99% Bảo Hành 6 Tháng,36,3799000,Hà Nội,https://img.lazcdn.com/g/p/618cfc79c88d7027c4c82630667474b3.jpg_200x200q80.avif,i n Tho i Google Pixel 7 5G 8GB 128GB Ch nh H ng Like New M i n 99 B o H nh 6 Th ng
https://www.lazada.vn/products/pdp-i3108909825.html,Điện Thoại Google Pixel 6 Pro 5G (12GB | 256GB) Chính Hãng Like New mới Đến 99% Bảo Hành 6 Tháng,45,3799000,Hà Nội,https://img.lazcdn.com/g/p/325e919cf9b594fa2449ce06e9131b35.jpg_200x200q80.avif,i n Tho i Google Pixel 6 Pro 5G 12GB 256GB Ch nh H ng Like New m i n 99 B o H nh 6 Th ng
https://www.lazada.vn/products/pdp-i3108898209.html,Điện Thoại Xiaomi Redmi Note 14 Pro 5G (8GB/256GB) Chính Hãng Full Box Nguyên Seal Bảo Hành 18 Tháng,40,4099000,Hà Nội,https://img.lazcdn.com/g/p/3ddd9f6ddb422899152ddb47b1534312.jpg_200x200q80.avif,i n Tho i Xiaomi Redmi Note 14 Pro 5G 8GB/256GB Ch nh H ng Full Box Nguy n Seal B o H nh 18 Th ng
https://www.lazada.vn/products/pdp-i3108846599.html,Điện Thoại Xiaomi Redmi Note 13 Pro 5G (8GB-256GB) Chính Hãng 100% Full Box Nguyên Seal Bảo Hành 18 Tháng,42,3899000,Hà Nội,https://img.lazcdn.com/g/p/fb33a4dd06711577cf176fcd1be97699.jpg_200x200q80.avif,i n Tho i Xiaomi Redmi Note 13 Pro 5G 8GB-256GB Ch nh H ng 100 Full Box Nguy n Seal B o H nh 18 Th ng
https://www.lazada.vn/products/pdp-i3108833332.html,Điện Thoại POCO X6 PRO 5G (8GB/256GB) Chính Hãng 100% Full Box Nguyên Seal Bảo Hành 18 Tháng,43,3799000,Hà Nội,https://img.lazcdn.com/g/p/a19a87551ed6ae59f9615a733f7530ba.jpg_200x200q80.avif,i n Tho i POCO X6 Pro 5G 8GB/256GB Ch nh H ng 100 Full Box Nguy n Seal B o H nh 18 Th ng
https://www.lazada.vn/products/pdp-i3108830562.html,Điện Thoại Realme GT Neo 7 5G (12GB-256GB) Chính Hãng 100% Full Box Nguyên Seal Bảo Hành 18 Tháng,45,3599000,Hà Nội,https://img.lazcdn.com/g/p/4fc6e6317d4bac8f9e370c5025f9ad2f.jpg_200x200q80.avif,i n Tho i Realme GT Neo 7 5G 12GB-256GB Ch nh H ng 100 Full Box Nguy n Seal B o H nh 18 Th ng
https://www.lazada.vn/products/pdp-i3108708875.html,Điện thoại ZTE Libero Flip (6GB/128GB) Chính Hãng 100% Full Box Nguyên Seal Bảo Hành 18 Tháng,33,3099000,Hà Nội,https://img.lazcdn.com/g/p/5310423905813416e3f1cacf7dd4f61b.jpg_200x200q80.avif,i n tho i ZTE Libero Flip 6GB/128GB Ch nh H ng 100 Full Box Nguy n Seal B o H nh 18 Th ng
https://www.lazada.vn/products/pdp-i3107921150.html,"Điện Thoại Oukitel WP38 4G | Pin 10600mAh, RAM 12GB, ROM 256GB, ANDROID 13",65,859250,Tuyên Quang,https://img.lazcdn.com/g/p/f0cec3b869cb9509c2750bd87011e971.jpg_200x200q80.avif,i n Tho i Oukitel WP38 4G Pin 10600mAh RAM 12GB ROM 256GB ANDROID 13
https://www.lazada.vn/products/pdp-i3107917161.html,"Điện thoại Redmi_n0te 13pr Ram 8GB/128GB pin 5000 mAh máy chính hãng, bảo hành 12 tháng",50,1200000,Tuyên Quang,https://img.lazcdn.com/g/p/0ae58627d8a42f5390b5278cd0d5a660.jpg_200x200q80.avif,i n tho i Redmi Note 13pr Ram 8GB/128GB pin 5000 mAh m y ch nh h ng b o h nh 12 th ng
https://www.lazada.vn/products/pdp-i3107891259.html,"Điện thoại mi Mi 15 Utra Cấu hình mạnh, cày game nặng siêu mượt (16+512GB) | Màn hình 6.73""",65,1120000,Tuyên Quang,https://img.lazcdn.com/g/p/e1b036f4d90d6246add04aa67b41a053.jpg_200x200q80.avif,i n tho i Xiaomi 15 Utra C u h nh m nh c y game n ng si u m t 16+512GB M n h nh 6 73
https://www.lazada.vn/products/pdp-i3107867316.html,"Oukitel WP32 Pro siêu bền(RAM 24Gb(6GB + 18GB),ROM 256GB,NFC,Màn hình 6.0 inch, Android 14,T606 Octa Core, OTG)",65,811300,Tuyên Quang,https://img.lazcdn.com/g/p/3044e756ab9ee3bef13162d3d04a2b48.jpg_200x200q80.avif,Oukitel WP32 Pro si u b n RAM 24Gb 6GB + 18GB ROM 256GB NFC M n h nh 6 0 inch Android 14 T606 Octa Core OTG
https://www.lazada.vn/products/pdp-i3107860346.html,"Điện thoại SS 23ut máy 2sim ram 12G/512G Chính Hãng, bảo hành 12 tháng",65,910000,Tuyên Quang,https://img.lazcdn.com/g/p/f28660b3cb1fadc4bc0251d0b6a92bf2.jpg_200x200q80.avif,i n tho i Samsung 23ut m y 2sim ram 12G/512G Ch nh H ng b o h nh 12 th ng
https://www.lazada.vn/products/pdp-i3107784706.html,"Điện thoại Ss M51 2sim ram 8G/128G, Cấu hình Cao Chiến mọi Game mượt, Chụp ảnh đẹp, VÂN TAY OK",50,700000,Cao Bằng,https://img.lazcdn.com/g/p/09690e5a3d594637b503730822509ecc.jpg_200x200q80.avif,i n tho i Samsung M51 2sim ram 8G/128G C u h nh Cao Chi n m i Game m t Ch p nh p V N TAY OK
https://www.lazada.vn/products/pdp-i3107782718.html,điện thoại 0PP0 Ren08pr0 5G (12GB/256GB) | Cấu hình Cao Chiến mọi Game mượt - Hàng chính hãng Bảo hành 12 tháng,50,900000,Tuyên Quang,https://img.lazcdn.com/g/p/674c91cf325950e41cd7550b3f1864cd.jpg_200x200q80.avif,i n tho i OPPO Ren08Pro 5G 12GB/256GB C u h nh Cao Chi n m i Game m t - H ng ch nh h ng B o h nh 12 th ng
https://www.lazada.vn/products/pdp-i3107762859.html,"Điện thoại Redmi_n0te 10pr0 Ram 8GB/128GB pin 5020 mAh máy chính hãng, bảo hành 12 tháng",50,800000,Tuyên Quang,https://img.lazcdn.com/g/p/2e3db16dc75b277df74c57c0515a4e6a.jpg_200x200q80.avif,i n tho i Redmi Note 10Pro Ram 8GB/128GB pin 5020 mAh m y ch nh h ng b o h nh 12 th ng
https://www.lazada.vn/products/pdp-i3107760841.html,"Điện thoại  Redmi_n0te 12 Ram 8GB/128GB pin 5000 mAh máy chính hãng, bảo hành 12 tháng",50,800000,Cao Bằng,https://img.lazcdn.com/g/p/007c3af28afea99fb048a87be68d07c9.jpg_200x200q80.avif,i n tho i Redmi Note 12 Ram 8GB/128GB pin 5000 mAh m y ch nh h ng b o h nh 12 th ng
https://www.lazada.vn/products/pdp-i3107750858.html,"Điện thoại SS 22ut máy 2sim ram 12G/256G Chính Hãng, bảo hành 12 tháng",65,840000,Tuyên Quang,https://img.lazcdn.com/g/p/549fc3fa7ee835d11af459d03d8cbd37.jpg_200x200q80.avif,i n tho i Samsung 22ut m y 2sim ram 12G/256G Ch nh H ng b o h nh 12 th ng
https://www.lazada.vn/products/pdp-i3107737837.html,"Điện thoại siêu phẩm SS_ z f0ld 5 256GB-Chính hãng mới 100%, Bảo hành chính hãng 12 tháng.",65,1120000,Tuyên Quang,https://img.lazcdn.com/g/p/6e1e3696a85a2b650580f645ba8f2fc7.jpg_200x200q80.avif,i n tho i si u ph m Samsung z Fold 5 256GB-Ch nh h ng m i 100 B o h nh ch nh h ng 12 th ng
https://www.lazada.vn/products/pdp-i3107736911.html,"Điện thoại siêu phẩm SS_ A55 5G 128GB-Chính hãng newseal 100%, Bảo hành chính hãng 12 tháng.",65,770000,Tuyên Quang,https://img.lazcdn.com/g/p/1d3dc590396f33e0b4fe9062d507d14f.jpg_200x200q80.avif,i n tho i si u ph m Samsung A55 5G 128GB-Ch nh h ng newseal 100 B o h nh ch nh h ng 12 th ng
https://www.lazada.vn/products/pdp-i3107722896.html,"Điện thoại SS 24ut máy 2sim ram 12G/512G Chính Hãng, bảo hành 12 tháng",65,1050000,Tuyên Quang,https://img.lazcdn.com/g/p/5d75944756c32a7fad2b4640e8135ecb.jpg_200x200q80.avif,i n tho i Samsung 24ut m y 2sim ram 12G/512G Ch nh H ng b o h nh 12 th ng
https://www.lazada.vn/products/pdp-i3107707937.html,"Điện thoại siêu phẩm SS_ A72 5G 128GB-Chính hãng newseal 100%, Bảo hành chính hãng 12 tháng.",50,820000,Tuyên Quang,https://img.lazcdn.com/g/p/5902f9c37479817cea7fcb870f00bb93.jpg_200x200q80.avif,i n tho i si u ph m Samsung A72 5G 128GB-Ch nh h ng newseal 100 B o h nh ch nh h ng 12 th ng
https://www.lazada.vn/products/pdp-i3107408587.html,"Điện thoại Red.mi Note 11 pro 2sim ram 8G/128G, Cấu hình mạnh, cày game nặng siêu mượt, VÂN TAY OK",30,560000,Đăk Nông,https://img.lazcdn.com/g/p/a4a317aaa363f909b0125c001e29efa0.jpg_200x200q80.avif,i n tho i Redmi Note 11 Pro 2sim ram 8G/128G C u h nh m nh c y game n ng si u m t V N TAY OK
https://www.lazada.vn/products/pdp-i3107398640.html,Điện thoại samsung A02s,0,1300000,Kiên Giang,https://img.lazcdn.com/g/ff/kf/Sb29630d2f5564da2b94bcd01c7b17b64g.jpg_200x200q80.avif,i n tho i Samsung A02s
https://www.lazada.vn/products/pdp-i3107231428.html,"Điện thoại Ss M51 2sim ram 8G/128G, Cấu hình Cao Chiến mọi Game mượt, Chụp ảnh đẹp, VÂN TAY OK",30,490000,Đăk Nông,https://img.lazcdn.com/g/p/09690e5a3d594637b503730822509ecc.jpg_200x200q80.avif,i n tho i Samsung M51 2sim ram 8G/128G C u h nh Cao Chi n m i Game m t Ch p nh p V N TAY OK
