url,name,discount,price,location,image_url
https://www.lazada.vn/products/pdp-i3138722466.html,"Điện thoại Red.mi Note 11 pro 2sim ram 8G/128G, Cấu hình mạnh, cày game nặng siêu mượt, VÂN TAY OK",Voucher giảm  50%,800.000 ₫,Hải Phòng,https://img.lazcdn.com/g/p/f76a01f1fcc8604a703c5fe313be751a.jpg_200x200q80.avif
https://www.lazada.vn/products/pdp-i3137074365.html,"Điện thoại Ss M51 2sim ram 8G/128G, Cấu hình Cao Chiến mọi Game mượt, Chụp ảnh đẹp, VÂN TAY OK",Voucher giảm  50%,700.000 ₫,Hà Nội,https://img.lazcdn.com/g/p/09690e5a3d594637b503730822509ecc.jpg_200x200q80.avif
https://www.lazada.vn/products/pdp-i3132236834.html,"Điện thoại siêu phẩm SS_ A72 5G (8GB/256GB) hàng chính hãng mới 100%, Bảo hành chính hãng 12 tháng trên toàn quốc",,695.000 ₫,Quảng Ngãi,https://img.lazcdn.com/g/p/5902f9c37479817cea7fcb870f00bb93.jpg_200x200q80.avif
https://www.lazada.vn/products/pdp-i3139975345.html,điện thoại 0PP0 Ren012 5G (12GB/256GB) | Cấu hình Cao Chiến mọi Game mượt - Hàng chính hãng Bảo hành 12 tháng,Voucher giảm  50%,950.000 ₫,Hà Nội,https://img.lazcdn.com/g/p/88036aff56da54e1dafcb8a56ec0f5bd.jpg_200x200q80.avif
https://www.lazada.vn/products/pdp-i3134839385.html,điện thoại 0PP0 A53 (128GB) |Cấu hình Cao Chiến mọi Game mượt - Hàng chính hãng Bảo hành 12 tháng,,650.000 ₫,Tiền Giang,https://img.lazcdn.com/g/p/ea96c7eb07112f2faf8282e6d3bdac3d.jpg_200x200q80.avif
https://www.lazada.vn/products/pdp-i3139975339.html,"Điện thoại Redmi_n0te 10pr0 Ram 8GB/128GB pin 5020 mAh máy chính hãng, bảo hành 12 tháng",Voucher giảm  50%,800.000 ₫,Hà Nội,https://img.lazcdn.com/g/p/2e3db16dc75b277df74c57c0515a4e6a.jpg_200x200q80.avif
https://www.lazada.vn/products/pdp-i3137122860.html,"Điện thoại Red.mi Note 11 pro 2sim ram 8G/128G, Cấu hình mạnh, cày game nặng siêu mượt, VÂN TAY OK",Voucher giảm  50%,800.000 ₫,Hồ Chí Minh,https://img.lazcdn.com/g/p/f76a01f1fcc8604a703c5fe313be751a.jpg_200x200q80.avif
https://www.lazada.vn/products/pdp-i3136356121.html,"điện thoại 0PP0 Ren08pr0 5G (12GB/256GB) | Chính Hãng, mới 100% bảo hành 12 tháng toàn quốc",Voucher giảm  50%,905.000 ₫,Đăk Lăk,https://img.lazcdn.com/g/p/e78309226d73fec5f8c33fc0856f35be.jpg_200x200q80.avif
https://www.lazada.vn/products/pdp-i3132378065.html,"Điện thoại Redmi_n0te 12 Ram 8GB/128GB pin 5000 mAh Chính Hãng, mới 100% bảo hành 12 tháng toàn quốc",,805.000 ₫,Hà Nội,https://img.lazcdn.com/g/p/007c3af28afea99fb048a87be68d07c9.jpg_200x200q80.avif
https://www.lazada.vn/products/pdp-i3137092889.html,"Điện thoại Ss M51 2sim ram 8G/128G, Cấu hình Cao Chiến mọi Game mượt, Chụp ảnh đẹp, VÂN TAY OK",Voucher giảm  50%,700.000 ₫,Hồ Chí Minh,https://img.lazcdn.com/g/p/09690e5a3d594637b503730822509ecc.jpg_200x200q80.avif
https://www.lazada.vn/products/pdp-i3138817299.html,"Điện thoại Redmi_n0te 10pr0 Ram 8GB/128GB pin 5020 mAh máy chính hãng, bảo hành 12 tháng",Voucher giảm  50%,800.000 ₫,Hải Phòng,https://img.lazcdn.com/g/p/2e3db16dc75b277df74c57c0515a4e6a.jpg_200x200q80.avif
https://www.lazada.vn/products/pdp-i3137143863.html,"Điện thoại siêu phẩm SS_ A72 5G 128GB-Chính hãng newseal 100%, Bảo hành chính hãng 12 tháng.",Voucher giảm  50%,820.000 ₫,Hồ Chí Minh,https://img.lazcdn.com/g/p/5902f9c37479817cea7fcb870f00bb93.jpg_200x200q80.avif
https://www.lazada.vn/products/pdp-i3136821199.html,"Điện thoại Red.mi Note 11 pro 2sim ram 8G/128G, Chính Hãng, mới 100% bảo hành 12 tháng toàn quốc",Voucher giảm  50%,800.000 ₫,Thái Bình,https://img.lazcdn.com/g/p/8e7c9fdb8de580d820255bf4dcede2e1.jpg_200x200q80.avif
https://www.lazada.vn/products/pdp-i3139435613.html,Điện thoại X.i.ao.m.i R.ed.mi.9A 2GB/32GB - Màn hình 6.53inch - Pin khủng.5000mah,Voucher giảm  44%,899.000 ₫,Hồ Chí Minh,https://img.lazcdn.com/g/p/80b6dd08c0fe4bb110a3874841184285.jpg_200x200q80.avif
https://www.lazada.vn/products/pdp-i3139969369.html,"Điện thoại siêu phẩm SS_ A55 5G 128GB-Chính hãng newseal 100%, Bảo hành chính hãng 12 tháng.",Voucher giảm  50%,1.100.000 ₫,Hà Nội,https://img.lazcdn.com/g/p/1d3dc590396f33e0b4fe9062d507d14f.jpg_200x200q80.avif
